#views	actual	estimated
1	328549	74348
2	182722	13122
3	67780	7358
4	19052	7345
5	4202	10807
6	735	12854
7	116	16013
8	25	15998
9	3	15487
10	0	11935
11	0	8385
12	0	5198
13	0	2754
14	0	1171
15	0	478
16	0	181
17	0	40
18	0	22
19	0	2
